GUEST_ID,姓,名,住所（都道府県など）,メールアドレス,電話番号,年齢,性別（コード値）,使用言語,同行者情報,宿泊回数,顧客セグメント,コミュニケーション設定,興味・関心タグ,特記事項
G00020,Davis,Elizabeth,California,elizabeth.davis@example.com,1-234-567-8901,48,1,KO,,1,first_time,digital,"#子連れOK, #自然が好き, #ショッピング",特になし
G00021,Jones,Patricia,London,patricia.jones@example.com,1-234-567-8901,70,2,KO,"[{""name"": ""Jones James"", ""relationship"": ""partner"", ""age"": 66, ""notes"": ""特になし""}]",4,repeater,analog,#子連れOK,特になし
G00022,Miller,Linda,California,linda.miller@example.com,1-234-567-8901,39,2,EN,"[{""name"": ""Miller Michael"", ""relationship"": ""partner"", ""age"": 42, ""notes"": ""特になし""}]",1,first_time,digital,#子連れOK,特になし
G00023,Brown,Jennifer,Beijing,jennifer.brown@example.com,1-234-567-8901,53,1,ZH,"[{""name"": ""Brown Mary"", ""relationship"": ""partner"", ""age"": 48, ""notes"": ""特になし""}]",1,first_time,digital,"#自然が好き, #歴史",特になし
G00024,Miller,John,California,john.miller@example.com,1-234-567-8901,27,2,EN,,1,first_time,digital,#ショッピング,特になし
G00025,Jones,David,London,david.jones@example.com,1-234-567-8901,30,1,ZH,,2,repeater,analog,"#アート体験, #自然が好き",特になし
G00026,Garcia,Michael,Shanghai,michael.garcia@example.com,1-234-567-8901,46,2,EN,"[{""name"": ""Garcia David"", ""relationship"": ""partner"", ""age"": 43, ""notes"": ""特になし""}, {""name"": ""Garcia Patricia"", ""relationship"": ""child"", ""age"": 3, ""notes"": ""アレルギーなし""}]",3,repeater,digital,#歴史,前回、泡盛のテイスティングを楽しまれた
G00027,Johnson,Linda,California,linda.johnson@example.com,1-234-567-8901,51,2,EN,"[{""name"": ""Johnson James"", ""relationship"": ""partner"", ""age"": 49, ""notes"": ""特になし""}]",8,vip,digital,#自然が好き,前回、泡盛のテイスティングを楽しまれた
G00028,Williams,Elizabeth,Seoul,elizabeth.williams@example.com,1-234-567-8901,24,2,EN,,2,repeater,digital,#グルメ,特になし
G00029,Brown,Robert,Seoul,robert.brown@example.com,1-234-567-8901,32,2,KO,"[{""name"": ""Brown John"", ""relationship"": ""partner"", ""age"": 37, ""notes"": ""特になし""}]",5,repeater,digital,#グルメ,特になし
G00030,Jones,Robert,Beijing,robert.jones@example.com,1-234-567-8901,27,1,ZH,"[{""name"": ""Jones Mary"", ""relationship"": ""partner"", ""age"": 26, ""notes"": ""特になし""}]",3,repeater,analog,"#アート体験, #歴史, #自然が好き",特になし
G00031,中村,恵子,大阪府,恵子.中村@example.com,090-1234-5678,25,2,JA,"[{""name"": ""中村 誠"", ""relationship"": ""partner"", ""age"": 20, ""notes"": ""特になし""}]",1,first_time,digital,"#アート体験, #歴史",特になし
G00032,伊藤,太郎,東京都,太郎.伊藤@example.com,090-1234-5678,22,2,JA,,1,first_time,analog,"#アート体験, #歴史",特になし
G00033,高橋,健太,兵庫県,健太.高橋@example.com,090-1234-5678,43,2,JA,,4,repeater,analog,#ショッピング,特になし
G00034,田中,健太,兵庫県,健太.田中@example.com,090-1234-5678,54,2,JA,"[{""name"": ""田中 誠"", ""relationship"": ""partner"", ""age"": 58, ""notes"": ""特になし""}, {""name"": ""田中 誠"", ""relationship"": ""child"", ""age"": 5, ""notes"": ""アレルギーなし""}]",5,repeater,analog,"#子連れOK, #歴史",特になし
G00035,高橋,陽一,東京都,陽一.高橋@example.com,090-1234-5678,32,1,JA,,7,vip,analog,"#自然が好き, #歴史",特になし
G00036,小林,大輔,東京都,大輔.小林@example.com,090-1234-5678,39,2,JA,"[{""name"": ""小林 誠"", ""relationship"": ""partner"", ""age"": 38, ""notes"": ""特になし""}, {""name"": ""小林 太郎"", ""relationship"": ""child"", ""age"": 6, ""notes"": ""アレルギーなし""}]",15,vip,digital,"#歴史, #子連れOK",特になし
G00037,佐藤,健太,兵庫県,健太.佐藤@example.com,090-1234-5678,66,2,JA,"[{""name"": ""佐藤 誠"", ""relationship"": ""partner"", ""age"": 62, ""notes"": ""特になし""}]",14,vip,analog,"#ショッピング, #子連れOK, #アート体験",前回、泡盛のテイスティングを楽しまれた
G00038,小林,陽子,神奈川県,陽子.小林@example.com,090-1234-5678,74,1,JA,,1,first_time,digital,"#子連れOK, #グルメ",特になし
G00039,加藤,健太,愛知県,健太.加藤@example.com,090-1234-5678,22,2,JA,,1,first_time,analog,"#ショッピング, #自然が好き",前回、泡盛のテイスティングを楽しまれた
G00040,佐藤,誠,東京都,誠.佐藤@example.com,090-1234-5678,70,2,JA,"[{""name"": ""佐藤 健太"", ""relationship"": ""partner"", ""age"": 71, ""notes"": ""特になし""}]",2,repeater,analog,"#自然が好き, #アート体験",前回、泡盛のテイスティングを楽しまれた
G00041,高橋,誠,埼玉県,誠.高橋@example.com,090-1234-5678,20,2,JA,"[{""name"": ""高橋 健太"", ""relationship"": ""partner"", ""age"": 16, ""notes"": ""特になし""}]",4,repeater,analog,#自然が好き,特になし
G00042,加藤,恵子,愛知県,恵子.加藤@example.com,090-1234-5678,25,2,JA,"[{""name"": ""加藤 健太"", ""relationship"": ""partner"", ""age"": 23, ""notes"": ""特になし""}]",1,first_time,digital,"#歴史, #自然が好き",特になし
G00043,佐藤,大輔,埼玉県,大輔.佐藤@example.com,090-1234-5678,71,1,JA,,1,first_time,digital,"#ショッピング, #自然が好き, #子連れOK",特になし
G00044,加藤,大輔,北海道,大輔.加藤@example.com,090-1234-5678,62,1,JA,"[{""name"": ""加藤 陽子"", ""relationship"": ""partner"", ""age"": 57, ""notes"": ""特になし""}]",2,repeater,digital,#ショッピング,特になし
G00045,高橋,太郎,北海道,太郎.高橋@example.com,090-1234-5678,20,2,JA,,1,first_time,analog,#ショッピング,特になし
G00046,伊藤,健太,北海道,健太.伊藤@example.com,090-1234-5678,22,2,JA,"[{""name"": ""伊藤 太郎"", ""relationship"": ""partner"", ""age"": 18, ""notes"": ""特になし""}]",5,repeater,analog,"#ショッピング, #自然が好き",前回、泡盛のテイスティングを楽しまれた
G00047,田中,さくら,大阪府,さくら.田中@example.com,090-1234-5678,35,2,JA,"[{""name"": ""田中 太郎"", ""relationship"": ""partner"", ""age"": 38, ""notes"": ""特になし""}]",2,repeater,analog,"#ショッピング, #グルメ, #歴史",特になし
G00048,渡辺,誠,埼玉県,誠.渡辺@example.com,090-1234-5678,73,1,JA,"[{""name"": ""渡辺 陽子"", ""relationship"": ""partner"", ""age"": 74, ""notes"": ""特になし""}]",2,repeater,digital,"#自然が好き, #歴史",特になし
G00049,佐藤,誠,神奈川県,誠.佐藤@example.com,090-1234-5678,29,2,JA,"[{""name"": ""佐藤 健太"", ""relationship"": ""partner"", ""age"": 28, ""notes"": ""特になし""}]",1,first_time,analog,#自然が好き,特になし
G00050,渡辺,大輔,福岡県,大輔.渡辺@example.com,090-1234-5678,46,1,JA,,1,first_time,digital,"#アート体験, #歴史, #グルメ",前回、泡盛のテイスティングを楽しまれた
G00051,加藤,美咲,神奈川県,美咲.加藤@example.com,090-1234-5678,30,1,JA,,4,repeater,analog,"#ショッピング, #アート体験",特になし
G00052,山本,健太,東京都,健太.山本@example.com,090-1234-5678,36,2,JA,,1,first_time,digital,"#歴史, #ショッピング",特になし
G00053,田中,美咲,埼玉県,美咲.田中@example.com,090-1234-5678,43,2,JA,"[{""name"": ""田中 誠"", ""relationship"": ""partner"", ""age"": 47, ""notes"": ""特になし""}]",1,first_time,analog,"#ショッピング, #子連れOK",特になし
G00054,中村,誠,北海道,誠.中村@example.com,090-1234-5678,22,2,JA,"[{""name"": ""中村 陽一"", ""relationship"": ""partner"", ""age"": 17, ""notes"": ""特になし""}]",1,first_time,analog,"#アート体験, #ショッピング, #歴史",特になし
G00055,小林,陽子,埼玉県,陽子.小林@example.com,090-1234-5678,33,1,JA,"[{""name"": ""小林 恵子"", ""relationship"": ""partner"", ""age"": 28, ""notes"": ""特になし""}]",1,first_time,digital,#アート体験,前回、泡盛のテイスティングを楽しまれた
G00056,高橋,大輔,兵庫県,大輔.高橋@example.com,090-1234-5678,40,1,JA,,1,first_time,digital,#子連れOK,前回、泡盛のテイスティングを楽しまれた
G00057,小林,太郎,愛知県,太郎.小林@example.com,090-1234-5678,72,2,JA,,1,first_time,digital,"#子連れOK, #アート体験",特になし
G00058,渡辺,陽子,埼玉県,陽子.渡辺@example.com,090-1234-5678,64,2,JA,"[{""name"": ""渡辺 誠"", ""relationship"": ""partner"", ""age"": 60, ""notes"": ""特になし""}]",5,repeater,digital,"#歴史, #グルメ, #自然が好き",特になし
G00059,小林,健太,大阪府,健太.小林@example.com,090-1234-5678,74,2,JA,,15,vip,digital,"#ショッピング, #グルメ",特になし
G00060,伊藤,恵子,北海道,恵子.伊藤@example.com,090-1234-5678,21,2,JA,,1,first_time,digital,#自然が好き,前回、泡盛のテイスティングを楽しまれた
G00061,小林,誠,北海道,誠.小林@example.com,090-1234-5678,68,1,JA,,1,first_time,analog,"#ショッピング, #歴史",前回、泡盛のテイスティングを楽しまれた
G00062,高橋,陽一,北海道,陽一.高橋@example.com,090-1234-5678,57,1,JA,"[{""name"": ""高橋 陽子"", ""relationship"": ""partner"", ""age"": 59, ""notes"": ""特になし""}]",1,first_time,digital,"#アート体験, #グルメ, #自然が好き",特になし
G00063,伊藤,美咲,福岡県,美咲.伊藤@example.com,090-1234-5678,34,1,JA,,1,first_time,analog,"#アート体験, #ショッピング, #グルメ",特になし
G00064,小林,愛,埼玉県,愛.小林@example.com,090-1234-5678,34,2,JA,,5,repeater,digital,#子連れOK,特になし
G00065,鈴木,さくら,北海道,さくら.鈴木@example.com,090-1234-5678,69,1,JA,"[{""name"": ""鈴木 美咲"", ""relationship"": ""partner"", ""age"": 72, ""notes"": ""特になし""}]",1,first_time,digital,#子連れOK,特になし
G00066,佐藤,健太,大阪府,健太.佐藤@example.com,090-1234-5678,20,2,JA,,1,first_time,digital,"#歴史, #ショッピング",特になし
G00067,中村,太郎,北海道,太郎.中村@example.com,090-1234-5678,29,1,JA,"[{""name"": ""中村 恵子"", ""relationship"": ""partner"", ""age"": 34, ""notes"": ""特になし""}, {""name"": ""中村 恵子"", ""relationship"": ""child"", ""age"": 4, ""notes"": ""イルカが好き""}]",5,repeater,digital,"#ショッピング, #歴史, #子連れOK",特になし
G00068,山本,美咲,大阪府,美咲.山本@example.com,090-1234-5678,51,1,JA,"[{""name"": ""山本 陽子"", ""relationship"": ""partner"", ""age"": 50, ""notes"": ""特になし""}, {""name"": ""山本 太郎"", ""relationship"": ""child"", ""age"": 3, ""notes"": ""アレルギーなし""}]",4,repeater,analog,#歴史,特になし
G00069,鈴木,恵子,北海道,恵子.鈴木@example.com,090-1234-5678,61,2,JA,,1,first_time,digital,"#子連れOK, #ショッピング, #自然が好き",特になし
G00070,高橋,陽子,東京都,陽子.高橋@example.com,090-1234-5678,53,2,JA,,1,first_time,digital,#子連れOK,特になし
G00071,山本,大輔,福岡県,大輔.山本@example.com,090-1234-5678,62,1,JA,"[{""name"": ""山本 美咲"", ""relationship"": ""partner"", ""age"": 59, ""notes"": ""特になし""}]",1,first_time,digital,#自然が好き,前回、泡盛のテイスティングを楽しまれた
G00072,伊藤,太郎,大阪府,太郎.伊藤@example.com,090-1234-5678,36,2,JA,"[{""name"": ""伊藤 健太"", ""relationship"": ""partner"", ""age"": 38, ""notes"": ""特になし""}]",2,repeater,digital,"#ショッピング, #歴史",特になし
G00073,中村,健太,北海道,健太.中村@example.com,090-1234-5678,57,1,JA,,1,first_time,analog,"#子連れOK, #歴史",前回、泡盛のテイスティングを楽しまれた
G00074,田中,恵子,福岡県,恵子.田中@example.com,090-1234-5678,24,2,JA,,1,first_time,digital,#グルメ,特になし
G00075,中村,恵子,大阪府,恵子.中村@example.com,090-1234-5678,23,2,JA,,1,first_time,analog,#子連れOK,特になし
G00076,小林,陽一,愛知県,陽一.小林@example.com,090-1234-5678,47,1,JA,"[{""name"": ""小林 陽子"", ""relationship"": ""partner"", ""age"": 51, ""notes"": ""特になし""}]",1,first_time,digital,"#自然が好き, #子連れOK",特になし
G00077,山本,美咲,愛知県,美咲.山本@example.com,090-1234-5678,29,2,JA,"[{""name"": ""山本 健太"", ""relationship"": ""partner"", ""age"": 27, ""notes"": ""特になし""}]",1,first_time,digital,#グルメ,特になし
G00078,中村,恵子,愛知県,恵子.中村@example.com,090-1234-5678,57,1,JA,,1,first_time,digital,#歴史,特になし
G00079,高橋,美咲,北海道,美咲.高橋@example.com,090-1234-5678,60,2,JA,"[{""name"": ""高橋 太郎"", ""relationship"": ""partner"", ""age"": 55, ""notes"": ""特になし""}]",1,first_time,digital,#子連れOK,特になし
G00080,加藤,健太,埼玉県,健太.加藤@example.com,090-1234-5678,57,2,JA,,1,first_time,analog,"#自然が好き, #ショッピング, #歴史",特になし
G00081,佐藤,さくら,愛知県,さくら.佐藤@example.com,090-1234-5678,29,2,JA,,1,first_time,analog,#アート体験,特になし
G00082,中村,大輔,兵庫県,大輔.中村@example.com,090-1234-5678,63,1,JA,"[{""name"": ""中村 愛"", ""relationship"": ""partner"", ""age"": 61, ""notes"": ""特になし""}]",3,repeater,analog,"#子連れOK, #グルメ",特になし
G00083,小林,陽一,兵庫県,陽一.小林@example.com,090-1234-5678,68,2,JA,,2,repeater,digital,#歴史,特になし
G00084,鈴木,健太,大阪府,健太.鈴木@example.com,090-1234-5678,73,1,JA,,5,repeater,digital,#アート体験,特になし
G00085,高橋,恵子,神奈川県,恵子.高橋@example.com,090-1234-5678,72,2,JA,"[{""name"": ""高橋 誠"", ""relationship"": ""partner"", ""age"": 71, ""notes"": ""特になし""}]",1,first_time,analog,"#ショッピング, #自然が好き",特になし
G00086,加藤,陽一,埼玉県,陽一.加藤@example.com,090-1234-5678,44,2,JA,,3,repeater,digital,#グルメ,特になし
G00087,伊藤,さくら,神奈川県,さくら.伊藤@example.com,090-1234-5678,72,1,JA,"[{""name"": ""伊藤 さくら"", ""relationship"": ""partner"", ""age"": 72, ""notes"": ""特になし""}]",5,repeater,digital,"#ショッピング, #子連れOK",特になし
G00088,佐藤,大輔,大阪府,大輔.佐藤@example.com,090-1234-5678,29,2,JA,"[{""name"": ""佐藤 大輔"", ""relationship"": ""partner"", ""age"": 34, ""notes"": ""特になし""}]",2,repeater,digital,"#アート体験, #歴史",特になし
G00089,高橋,健太,埼玉県,健太.高橋@example.com,090-1234-5678,71,1,JA,"[{""name"": ""高橋 陽子"", ""relationship"": ""partner"", ""age"": 75, ""notes"": ""特になし""}]",10,vip,digital,"#ショッピング, #歴史, #アート体験",特になし
G00090,伊藤,大輔,愛知県,大輔.伊藤@example.com,090-1234-5678,68,1,JA,,1,first_time,digital,#グルメ,特になし
G00091,山本,大輔,兵庫県,大輔.山本@example.com,090-1234-5678,41,1,JA,"[{""name"": ""山本 陽子"", ""relationship"": ""partner"", ""age"": 44, ""notes"": ""特になし""}]",1,first_time,digital,"#グルメ, #自然が好き, #ショッピング",特になし
G00092,佐藤,さくら,埼玉県,さくら.佐藤@example.com,090-1234-5678,33,1,JA,"[{""name"": ""佐藤 陽子"", ""relationship"": ""partner"", ""age"": 36, ""notes"": ""特になし""}, {""name"": ""佐藤 陽子"", ""relationship"": ""child"", ""age"": 3, ""notes"": ""アレルギーなし""}]",7,vip,digital,#歴史,前回、泡盛のテイスティングを楽しまれた
G00093,高橋,恵子,北海道,恵子.高橋@example.com,090-1234-5678,39,2,JA,"[{""name"": ""高橋 大輔"", ""relationship"": ""partner"", ""age"": 37, ""notes"": ""特になし""}]",2,repeater,analog,"#自然が好き, #グルメ",特になし
G00094,山本,陽子,東京都,陽子.山本@example.com,090-1234-5678,43,1,JA,,1,first_time,analog,#ショッピング,特になし
G00095,田中,陽一,埼玉県,陽一.田中@example.com,090-1234-5678,54,1,JA,,1,first_time,digital,"#子連れOK, #ショッピング, #アート体験",特になし
G00096,高橋,美咲,埼玉県,美咲.高橋@example.com,090-1234-5678,35,2,JA,"[{""name"": ""高橋 健太"", ""relationship"": ""partner"", ""age"": 37, ""notes"": ""特になし""}]",1,first_time,digital,"#子連れOK, #自然が好き",特になし
G00097,伊藤,健太,兵庫県,健太.伊藤@example.com,090-1234-5678,62,1,JA,,5,repeater,digital,#グルメ,特になし
G00098,伊藤,さくら,大阪府,さくら.伊藤@example.com,090-1234-5678,23,2,JA,,1,first_time,digital,"#子連れOK, #アート体験, #自然が好き",特になし
G00099,鈴木,健太,北海道,健太.鈴木@example.com,090-1234-5678,71,1,JA,"[{""name"": ""鈴木 美咲"", ""relationship"": ""partner"", ""age"": 70, ""notes"": ""特になし""}]",3,repeater,analog,#アート体験,特になし
G00100,佐藤,大輔,東京都,大輔.佐藤@example.com,090-1234-5678,59,2,JA,,1,first_time,digital,"#自然が好き, #アート体験",特になし
